PL_NAME,SPEC_TYPE,BIBCODE,AUTHORS,AUTHORS_UNACCENTED,NUM_DATAPOINTS,INSTRUMENT,FACILITY,MINWAVELNG,MAXWAVELNG,MINTRANMID,MAXTRANMID,NOTE,SPEC_ID,SPEC_PATH,ROW_IDX,ROW_NUM
CoRoT-1 b,Transmission,2023A&A...675A..62J,Jiang et al. 2023,Jiang et al. 2023,40,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.92,,,,3.10951_5312_1,92/39/84/15/CoRoT_1_b_3.10951_5312_1.tbl,21,21
CoRoT-2 b,Emission,2010A&A...511A...3G,Gillon et al. 2010,Gillon et al. 2010,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,8,,,Table 1,3.10954_3283_1,66/17/12/99/CoRoT_2_b_3.10954_3283_1.tbl,22,22
CoRoT-2 b,Emission,2010AJ....139.1481A,Alonso et al. 2010,Alonso et al. 2010,1,LIRIS,Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos,2.15,2.15,,,eclipse depth taken from Abstract,3.10954_4081_1,60/73/74/39/CoRoT_2_b_3.10954_4081_1.tbl,23,23
CoRoT-2 b,Emission,2011ApJ...726...95D,Deming et al. 2011,Deming et al. 2011,3,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8,,,Table 1,3.10954_4094_1,28/54/10/44/CoRoT_2_b_3.10954_4094_1.tbl,24,24
GJ 1214 b,Emission,2023arXiv230506240K,Kempton et al. 2023,Kempton et al. 2023,14,Mid-Infrared Instrument (MIRI) - LRS,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,5.25,11.75,,,,3.10969_5145_1,33/68/66/96/GJ_1214_b_3.10969_5145_1.tbl,25,25
GJ 1214 b,Transmission,2014MNRAS.438.2395W,Wilson et al. 2014,Wilson et al. 2014,8,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.81,0.885,2455350.564,2455723.539,,3.10969_3419_1,00/62/76/21/GJ_1214_b_3.10969_3419_1.tbl,26,26
GJ 1214 b,Transmission,2014A&A...563A..21G,Gillon et al. 2014,Gillon et al. 2014,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,2454980.749,2454980.749,,3.10969_3420_1,15/44/07/11/GJ_1214_b_3.10969_3420_1.tbl,27,27
GJ 1214 b,Transmission,2014A&A...563A..21G,Gillon et al. 2014,Gillon et al. 2014,1,TRAPPISTCam,La Silla Observatory's 60-cm TRAPPIST Telescope,0.838,0.838,,,,3.10969_3420_2,26/12/47/25/GJ_1214_b_3.10969_3420_2.tbl,28,28
GJ 1214 b,Transmission,2014A&A...565A...7C,Cáceres et al. 2014,Caceres et al. 2014,1,OSIRIS,The Southern Astrophysical Research Telescope,2.14,2.14,2455783.594,2455783.594,,3.10969_3574_1,03/27/70/04/GJ_1214_b_3.10969_3574_1.tbl,29,29
GJ 1214 b,Transmission,2014A&A...565A...7C,Cáceres et al. 2014,Caceres et al. 2014,1,SOI,The Southern Astrophysical Research Telescope,0.8665,0.8665,2455315.795,2455315.795,,3.10969_3574_2,84/08/19/77/GJ_1214_b_3.10969_3574_2.tbl,30,30
GJ 1214 b,Transmission,2012ApJ...747...35B,Berta et al. 2012,Berta et al. 2012,24,Wide Field Camera 3,Hubble Space Telescope satellite,1.123,1.656,,,,3.10969_3608_1,59/51/90/62/GJ_1214_b_3.10969_3608_1.tbl,31,31
GJ 1214 b,Transmission,2011ApJ...743...92B,Bean et al. 2011,Bean et al. 2011,36,MMIRS,Magellan II Landon Clay Telescope,0.62,0.995,,,,3.10969_3619_1,45/78/69/11/GJ_1214_b_3.10969_3619_1.tbl,32,32
GJ 1214 b,Transmission,2011ApJ...736...78C,Croll et al. 2011,Croll et al. 2011,8,WIRCam,Canada-France-Hawaii Telescope,1.25,2.15,2455375.85,2455462.772,,3.10969_3620_1,70/51/04/19/GJ_1214_b_3.10969_3620_1.tbl,33,33
GJ 1214 b,Transmission,2014Natur.505...69K,Kreidberg et al. 2014,Kreidberg et al. 2014,22,Wide Field Camera 3,Hubble Space Telescope satellite,1.1465,1.6305,,,,3.10969_3621_1,99/80/73/15/GJ_1214_b_3.10969_3621_1.tbl,34,34
GJ 1214 b,Transmission,2013PASJ...65...27N,Narita et al. 2013,Narita et al. 2013,3,SIRIUS,Infrared Survey Facility,1.25,2.14,,,,3.10969_3643_1,60/32/98/27/GJ_1214_b_3.10969_3643_1.tbl,35,35
GJ 1214 b,Transmission,2012A&A...538A..46D,de Mooij et al. 2012,de Mooij et al. 2012,4,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,0.46,0.9,2455380.59,2455380.591,,3.10969_3663_1,99/48/40/82/GJ_1214_b_3.10969_3663_1.tbl,36,36
GJ 1214 b,Transmission,2012A&A...538A..46D,de Mooij et al. 2012,de Mooij et al. 2012,1,LIRIS,Isaac Newton Group's William Herschel Telescope,2.27,2.27,2455426.423,2455426.423,,3.10969_3663_2,18/05/52/21/GJ_1214_b_3.10969_3663_2.tbl,37,37
GJ 1214 b,Transmission,2012A&A...538A..46D,de Mooij et al. 2012,de Mooij et al. 2012,1,NOTCam,Nordic Optical Telescope,2.15,2.15,2455342.661,2455342.661,,3.10969_3663_3,25/44/72/05/GJ_1214_b_3.10969_3663_3.tbl,38,38
GJ 1214 b,Transmission,2012A&A...538A..46D,de Mooij et al. 2012,de Mooij et al. 2012,2,WFC,Isaac Newton Group's Isaac Newton Telescope,0.63,0.82,2455342.661,2455407.458,,3.10969_3663_4,78/55/02/74/GJ_1214_b_3.10969_3663_4.tbl,39,39
GJ 1214 b,Transmission,2015A&A...579A.113N,Nascimbeni et al. 2015,Nascimbeni et al. 2015,2,LBC,Large Binocular Telescope Observatory,0.5,0.775,,,,3.10969_3669_1,65/62/26/12/GJ_1214_b_3.10969_3669_1.tbl,40,40
GJ 1214 b,Transmission,2011ApJ...731L..40D,Désert et al. 2011,Desert et al. 2011,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,2455312.633,2455314.213,,3.10969_3697_1,86/99/43/84/GJ_1214_b_3.10969_3697_1.tbl,41,41
GJ 1214 b,Transmission,2013ApJ...771..109D,de Mooij et al. 2013,de Mooij et al. 2013,1,ACAM,Isaac Newton Group's William Herschel Telescope,0.4996,0.4996,,,,3.10969_3698_3,08/04/20/19/GJ_1214_b_3.10969_3698_3.tbl,42,42
GJ 1214 b,Transmission,2013ApJ...771..109D,de Mooij et al. 2013,de Mooij et al. 2013,1,FORS,Very Large Telescope (Antu),0.4543,0.4543,,,,3.10969_3698_2,30/48/87/96/GJ_1214_b_3.10969_3698_2.tbl,43,43
GJ 1214 b,Transmission,2013ApJ...771..109D,de Mooij et al. 2013,de Mooij et al. 2013,1,WFC,Isaac Newton Group's Isaac Newton Telescope,0.4962,0.4962,,,,3.10969_3698_1,09/67/50/85/GJ_1214_b_3.10969_3698_1.tbl,44,44
GJ 1214 b,Transmission,2012A&A...544A..41M,Murgas et al. 2012,Murgas et al. 2012,3,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.6535,0.662,2455791.496,2455791.497,,3.10969_3699_1,62/17/01/33/GJ_1214_b_3.10969_3699_1.tbl,45,45
GJ 1214 b,Transmission,2017ApJ...834..151R,Rackham et al. 2017,Rackham et al. 2017,14,IMACS spectrograph,Magellan I Walter Baade Telescope,0.5078,0.9162,,,,3.10969_3940_1,82/25/70/11/GJ_1214_b_3.10969_3940_1.tbl,46,46
